Wall time,Step,Value
1715425925.407808,2967,-159.52996826171875
1715425925.536883,2973,-157.27987670898438
1715425949.668139,2978,-119.20291900634766
1715425949.7035553,2984,-130.13209533691406
1715425949.7186778,2986,-129.40975952148438
1715425949.7839756,2996,-130.681884765625
1715425949.8045743,2999,-130.43959045410156
1715425949.8264847,3002,-128.8521728515625
1715425989.52531,3010,-141.85592651367188
1715425989.5804417,3019,-235.59042358398438
1715425989.6548138,3029,-247.84814453125
1715425989.6862125,3034,-235.88778686523438
1715426027.2973025,3047,-135.08444213867188
1715426027.4116304,3066,-133.68443298339844
1715426027.4298642,3069,-130.36744689941406
1715426070.9008687,3083,-125.28214263916016
1715426070.9070363,3084,-119.80887603759766
1715426070.9498973,3090,-119.40522766113281
1715426070.9935281,3096,-116.93172454833984
1715426071.0445645,3103,-115.75911712646484
1715426071.0533862,3104,-116.2900161743164
1715426071.0616503,3105,-116.11588287353516
1715426071.0762138,3107,-116.53584289550781
1715426071.1001835,3111,-114.83341979980469
1715426095.0828698,3115,-163.60952758789062
1715426095.111169,3119,-145.49887084960938
1715426095.1169755,3120,-144.7591552734375
1715426095.123468,3121,-124.71660614013672
1715426095.1561944,3126,-133.9901885986328
1715426095.1707335,3128,-129.7225341796875
1715426095.2400944,3138,-133.7022247314453
1715426095.2878773,3145,-135.1112060546875
1715426128.8315806,3173,-139.3177947998047
1715426128.8607554,3178,-132.5452423095703
1715426161.2813487,3187,-68.89569854736328
1715426161.2995732,3190,-105.99913787841797
1715426161.3139536,3192,-113.50458526611328
1715426161.3611348,3199,-123.45703887939453
1715426161.399127,3204,-129.50877380371094
1715426161.4561327,3212,-131.57821655273438
1715426161.4821885,3216,-131.47207641601562
1715426161.4878945,3217,-131.08949279785156
1715426199.495953,3220,-144.98611450195312
1715426199.5086455,3222,-137.51812744140625
1715426199.5538094,3229,-123.21819305419922
1715426199.6135297,3237,-124.26217651367188
1715426199.6442537,3241,-128.34767150878906
1715426199.6573322,3243,-123.26829528808594
1715426233.0573807,3265,-472.87054443359375
1715426233.0773294,3268,-491.9033203125
1715426267.8929243,3298,-148.69937133789062
1715426267.9410598,3306,-139.63722229003906
1715426303.5561755,3340,-127.69056701660156
1715426303.5819662,3345,-123.96170043945312
1715426303.6443202,3356,-130.0596923828125
1715426340.3510084,3365,-337.92578125
1715426340.4544358,3370,-355.94073486328125
1715426340.5144506,3372,-362.37054443359375
1715426340.571985,3374,-375.0513916015625
1715426340.6755202,3377,-400.799072265625
1715426340.7255657,3379,-397.0336608886719
1715426340.8544695,3384,-402.72943115234375
1715426340.871162,3385,-400.386474609375
1715426341.051252,3393,-397.6000061035156
1715426341.0665138,3394,-394.09765625
1715426369.4349155,3404,-137.4810028076172
1715426369.4622614,3408,-138.81251525878906
1715426369.5235658,3418,-135.13299560546875
1715426369.5469413,3422,-137.82131958007812
1715426369.5657961,3426,-135.83006286621094
1715426391.6836855,3434,-149.4075164794922
1715426391.715616,3439,-150.59854125976562
1715426391.8228173,3454,-146.866943359375
1715426391.8298802,3455,-145.34259033203125
1715426391.8671021,3461,-140.0424346923828
1715426413.7569666,3468,-129.61500549316406
1715426413.787768,3472,-103.19068145751953
1715426413.8782175,3482,-103.54299926757812
1715426413.888264,3483,-102.83504486083984
1715426413.8954105,3484,-101.87374877929688
1715426413.903193,3485,-98.82832336425781
1715426413.9533322,3491,-122.10375213623047
1715426413.9693527,3493,-123.85569763183594
1715426413.9921,3496,-121.41023254394531
1715426414.018964,3499,-119.8287582397461
1715426436.0919645,3500,-183.27769470214844
1715426436.111391,3503,-157.44190979003906
1715426436.1843603,3514,-141.0380859375
1715426436.2214768,3520,-135.55331420898438
1715426436.2539804,3526,-131.70327758789062
1715426459.20218,3535,-83.94117736816406
1715426459.2085326,3536,-118.4670181274414
1715426459.2387269,3541,-127.108154296875
1715426459.261567,3544,-112.47173309326172
1715426459.301555,3550,-103.14653778076172
1715426459.3270867,3554,-100.9632797241211
1715426459.3571174,3558,-103.61680603027344
1715426459.4089584,3566,-102.84590911865234
1715426459.4329524,3569,-104.13358306884766
1715426482.6480165,3575,-108.9135971069336
1715426482.6544318,3576,-117.86643981933594
1715426482.7050533,3584,-121.16030883789062
1715426482.7199893,3587,-121.61966705322266
1715426482.7243438,3588,-121.5639877319336
1715426482.7907753,3600,-121.85023498535156
1715426504.9634259,3613,-172.2172088623047
1715426504.970389,3614,-173.8213348388672
1715426504.9777565,3615,-168.4678497314453
1715426504.983607,3616,-165.26231384277344
1715426505.0697224,3630,-147.23391723632812
1715426528.3207726,3654,-132.48602294921875
1715426528.3375492,3657,-132.23658752441406
1715426528.3491545,3659,-131.74920654296875
1715426528.3607311,3661,-131.07827758789062
1715426528.379828,3664,-129.5001678466797
1715426528.403916,3668,-129.34555053710938
1715426528.419797,3671,-128.4877471923828
1715426528.4249969,3672,-127.77764129638672
1715426551.270893,3690,-147.96041870117188
1715426551.338743,3700,-128.72891235351562
1715426551.3873923,3707,-123.90760803222656
1715426573.3209593,3711,-112.46417236328125
1715426573.325721,3712,-105.32612609863281
1715426573.3528857,3717,-121.13214874267578
1715426573.3576586,3718,-117.69934844970703
1715426573.377205,3721,-124.90010070800781
1715426573.4425042,3732,-129.64353942871094
1715426573.447924,3733,-129.5528106689453
1715426597.2759511,3745,-126.32498931884766
1715426597.2816372,3746,-131.7703857421875
1715426597.2937436,3748,-142.72967529296875
1715426597.3008893,3749,-146.30661010742188
1715426597.3197174,3752,-140.47315979003906
1715426597.325438,3753,-139.34939575195312
1715426597.3338897,3754,-146.12191772460938
1715426597.3790884,3761,-139.63424682617188
1715426597.3904226,3763,-138.32972717285156
1715426618.5691528,3780,-99.63963317871094
1715426618.5765717,3781,-108.13932037353516
1715426618.5819652,3782,-122.88316345214844
1715426618.589062,3783,-133.2850799560547
1715426618.614388,3787,-140.2957000732422
1715426618.6311767,3790,-135.14112854003906
1715426618.722154,3805,-136.63975524902344
1715426618.7338192,3807,-136.62022399902344
1715426618.7750428,3813,-141.81581115722656
1715426642.0530286,3819,-159.53985595703125
1715426642.0781074,3823,-151.02220153808594
1715426642.17721,3839,-140.75372314453125
1715426642.2314415,3848,-137.48944091796875
1715426663.159935,3850,-110.27056121826172
1715426663.1722593,3852,-110.2301254272461
1715426663.203761,3857,-97.74562072753906
1715426663.2265508,3860,-96.779541015625
1715426663.291747,3869,-99.49028015136719
1715426663.3115592,3872,-96.56006622314453
1715426663.3318603,3875,-96.94347381591797
1715426685.5420654,3902,-132.2088165283203
1715426685.5763392,3908,-130.3740234375
1715426685.593259,3911,-130.6977996826172
1715426685.617878,3915,-129.5994415283203
1715426706.7878895,3921,-158.48777770996094
1715426706.806222,3924,-138.02247619628906
1715426706.8161144,3926,-139.07192993164062
1715426706.847539,3931,-141.17152404785156
1715426706.8573813,3933,-138.75485229492188
1715426706.8744063,3936,-139.432861328125
1715426706.977643,3953,-139.34042358398438
1715426728.672752,3957,-119.10297393798828
1715426728.7231658,3965,-105.07110595703125
1715426728.7320147,3966,-106.45848846435547
1715426728.784182,3975,-111.69734954833984
1715426728.820835,3981,-123.2778549194336
1715426728.826269,3982,-124.03412628173828
1715426728.8321807,3983,-125.24468231201172
1715426728.851044,3986,-127.23047637939453
1715426751.827729,3992,-164.94168090820312
1715426751.8585007,3997,-155.08140563964844
1715426751.8772151,4000,-147.512939453125
1715426751.9338646,4008,-141.00511169433594
1715426751.9635763,4012,-140.97828674316406
1715426751.9782968,4014,-140.03924560546875
1715426752.0377886,4023,-132.66616821289062
1715426772.7421932,4028,-146.1608123779297
1715426772.7781236,4034,-134.19430541992188
1715426772.8135536,4040,-135.40316772460938
1715426772.8548875,4047,-138.815673828125
1715426795.2850218,4065,-131.90951538085938
1715426795.290394,4066,-134.55633544921875
1715426795.3832397,4081,-116.18563842773438
1715426795.3893993,4082,-116.96416473388672
1715426795.4004087,4084,-114.22792053222656
1715426795.4270694,4088,-114.97657775878906
1715426795.4497628,4092,-115.59976196289062
1715426817.8179543,4109,-116.82144165039062
1715426817.856967,4115,-112.1540298461914
1715426817.8952222,4121,-109.3885498046875
1715426817.9138854,4124,-112.13811492919922
1715426840.390007,4142,-134.80897521972656
1715426840.4148388,4146,-132.4048309326172
1715426840.455637,4153,-121.42204284667969
1715426840.4729884,4156,-120.796875
1715426863.7301102,4167,-144.79672241210938
1715426863.791133,4177,-135.93736267089844
1715426863.7965744,4178,-136.2903594970703
1715426863.8144805,4181,-137.76377868652344
1715426863.8812718,4192,-130.77520751953125
1715426885.6094196,4207,-138.0252227783203
1715426885.6139183,4208,-138.1829071044922
1715426885.6970906,4221,-133.40325927734375
1715426885.731173,4227,-133.98255920410156
1715426885.7406902,4229,-131.56893920898438
1715426885.7463226,4230,-131.40821838378906
1715426907.923619,4236,-197.4981689453125
1715426907.9824235,4246,-142.033935546875
1715426907.9990804,4249,-140.3870086669922
1715426908.0112927,4251,-138.69888305664062
1715426908.016488,4252,-138.17144775390625
1715426908.0225775,4253,-139.75132751464844
1715426908.0484643,4257,-136.74314880371094
1715426908.1041121,4267,-135.70655822753906
1715426908.1098232,4268,-135.56295776367188
1715426930.9922178,4280,-124.85552978515625
1715426931.0005448,4281,-135.422607421875
1715426931.1064203,4298,-137.17552185058594
1715426954.8770971,4309,-113.43004608154297
1715426954.9431474,4318,-140.54856872558594
1715426954.9792132,4323,-138.30567932128906
1715426955.012446,4328,-135.8813018798828
1715426955.0512278,4334,-132.91531372070312
1715426978.7507932,4343,-118.67369079589844
1715426978.7951138,4351,-126.88519287109375
1715426978.8453112,4360,-127.06101989746094
1715426978.9057393,4371,-131.46163940429688
1715427002.5536773,4376,-149.53260803222656
1715427002.5752423,4379,-85.42453002929688
1715427002.5844808,4380,-86.86119842529297
1715427002.6401181,4387,-101.15489959716797
1715427002.7092228,4395,-106.39190673828125
1715427002.7728875,4403,-113.08843231201172
1715427002.8032618,4407,-106.48640441894531
1715427025.04699,4410,-165.9906463623047
1715427025.0670025,4413,-168.13052368164062
1715427025.0719218,4414,-152.68356323242188
1715427025.12095,4422,-124.80536651611328
1715427025.1325312,4424,-123.42146301269531
1715427025.1944833,4435,-124.0241928100586
1715427025.2447581,4443,-122.62078857421875
1715427048.9845493,4454,-145.93724060058594
1715427049.008164,4458,-148.26303100585938
1715427049.0522468,4466,-134.07789611816406
1715427071.1924157,4489,-110.2951889038086
1715427071.226503,4495,-105.9086685180664
1715427071.250783,4499,-116.20982360839844
1715427071.3454063,4514,-113.2930908203125
1715427094.0292752,4520,-76.66384887695312
1715427094.0534499,4523,-105.66425323486328
1715427094.069543,4525,-112.19076538085938
1715427094.1256151,4532,-116.21235656738281
1715427094.1493692,4535,-108.53922271728516
1715427094.1811557,4539,-119.21295928955078
1715427094.215943,4543,-128.73377990722656
1715427094.2241719,4544,-126.00775909423828
1715427094.2326612,4545,-123.42271423339844
1715427094.2467587,4547,-118.08196258544922
1715427117.994524,4560,-123.42718505859375
1715427118.014361,4562,-130.34658813476562
1715427118.032472,4564,-144.27737426757812
1715427118.0620162,4568,-134.3043212890625
1715427118.0858812,4571,-136.50332641601562
1715427118.09573,4572,-130.8688201904297
1715427118.111126,4574,-125.0419692993164
1715427118.169837,4582,-126.63331604003906
1715427142.4904912,4590,-137.37112426757812
1715427142.5019605,4592,-146.84854125976562
1715427142.5826108,4606,-142.80723571777344
1715427142.599651,4609,-135.40380859375
1715427142.615478,4612,-134.79957580566406
1715427165.4494276,4626,-130.08554077148438
1715427165.4671125,4629,-126.10924530029297
1715427165.5604925,4644,-133.88682556152344
1715427165.5865824,4649,-138.62344360351562
1715427165.593227,4650,-137.61380004882812
1715427165.6178124,4654,-133.86354064941406
1715427188.55259,4658,-150.430419921875
1715427188.559635,4659,-130.69688415527344
1715427188.5649245,4660,-119.63462829589844
1715427188.5784564,4662,-116.7646255493164
1715427188.6131747,4667,-111.39710998535156
1715427188.6205587,4668,-109.24803161621094
1715427188.6273985,4669,-113.60575866699219
1715427188.686588,4678,-114.24645233154297
1715427188.736443,4686,-111.12125396728516
1715427212.8833158,4690,-137.8053741455078
1715427212.8974993,4692,-158.17242431640625
1715427212.9328883,4698,-131.24575805664062
1715427212.9839256,4706,-137.795166015625
1715427212.9913247,4707,-135.97532653808594
1715427213.0266626,4713,-131.7447967529297
1715427213.045014,4716,-131.8056182861328
1715427213.1013548,4724,-132.02198791503906
1715427237.4452665,4730,-130.37193298339844
1715427237.4635408,4733,-129.8726806640625
1715427237.4704506,4734,-135.5306854248047
1715427237.4901466,4737,-137.07435607910156
1715427237.5066044,4740,-134.4105224609375
1715427237.525987,4743,-139.47799682617188
1715427237.6046712,4755,-132.02044677734375
1715427237.6300163,4759,-131.56100463867188
1715427260.9547584,4766,-115.45245361328125
1715427260.9936504,4772,-126.33770751953125
1715427261.0209386,4776,-131.01828002929688
1715427261.0287478,4777,-131.80393981933594
1715427261.044807,4780,-128.482666015625
1715427261.053284,4781,-129.143798828125
1715427261.0995514,4788,-130.68463134765625
1715427261.113566,4790,-129.0244598388672
1715427261.1286614,4792,-129.03399658203125
1715427285.5539021,4798,-181.2136993408203
1715427285.5982597,4804,-113.26313018798828
1715427285.624388,4807,-121.06673431396484
1715427285.6505768,4810,-121.16989135742188
1715427285.6649308,4812,-115.4306411743164
1715427285.6806436,4814,-111.43230438232422
1715427311.1490147,4830,-776.8524780273438
1715427311.1635985,4832,-655.50830078125
1715427311.1779535,4834,-648.4632568359375
1715427311.184652,4835,-626.9091796875
1715427311.1927142,4836,-644.8547973632812
1715427311.246774,4843,-664.7901000976562
1715427311.2530818,4844,-658.2747192382812
1715427311.3806224,4862,-639.1284790039062
1715427337.939028,4865,-120.76538848876953
1715427338.06551,4882,-125.32278442382812
1715427338.1675274,4895,-123.09612274169922
1715427362.391051,4908,-64.22212219238281
1715427362.4061973,4910,-77.081787109375
1715427362.5149627,4925,-105.48606872558594
1715427362.5426054,4929,-106.56998443603516
1715427362.5720527,4933,-100.04441833496094
1715427390.1776488,4940,-185.91493225097656
1715427390.206018,4944,-176.10585021972656
1715427390.2450879,4949,-168.4922332763672
1715427415.9161174,4978,-118.09235382080078
1715427415.9324431,4980,-134.37474060058594
1715427416.0041049,4990,-133.1824188232422
1715427416.0104244,4991,-132.05999755859375
1715427439.4906275,5014,-89.6515121459961
1715427439.559951,5023,-92.66365051269531
1715427466.5570421,5047,-152.7473907470703
1715427466.6555514,5059,-134.0402374267578
1715427466.67241,5061,-131.07559204101562
1715427466.714984,5066,-132.90139770507812
1715427494.1834996,5076,-532.3463134765625
1715427494.2039845,5079,-619.7322387695312
1715427494.2095997,5080,-613.2666625976562
1715427494.2492301,5086,-638.7523193359375
1715427494.2623343,5088,-640.2407836914062
1715427494.278149,5090,-642.8328247070312
1715427494.3123977,5095,-647.2381591796875
1715427494.3514063,5101,-645.08740234375
1715427494.3652968,5103,-636.7454833984375
1715427519.3047214,5122,-157.63381958007812
1715427519.4002533,5132,-130.84652709960938
1715427519.4404213,5136,-116.72999572753906
1715427519.4815197,5140,-114.06809997558594
1715427545.5136046,5147,-551.886962890625
1715427545.5366087,5151,-518.6788330078125
1715427545.5416927,5152,-511.9366760253906
1715427545.555404,5154,-534.1648559570312
1715427545.5607555,5155,-528.1453247070312
1715427545.638543,5167,-542.8167114257812
1715427545.6962724,5176,-537.9766845703125
1715427574.021039,5187,-140.1385955810547
1715427574.1268551,5197,-109.214599609375
1715427574.139453,5198,-115.5330581665039
1715427574.1567748,5200,-118.72663879394531
1715427574.2122943,5205,-103.87274169921875
1715427574.2311778,5207,-116.30107879638672
1715427574.2802455,5212,-111.76793670654297
1715427600.517717,5218,-84.82772064208984
1715427600.5666292,5225,-92.7784423828125
1715427600.6008465,5229,-95.57479095458984
1715427600.664529,5238,-100.30316925048828
1715427627.012263,5253,-57.88956069946289
1715427627.01926,5254,-74.64771270751953
1715427627.0561218,5258,-116.41507720947266
1715427627.1119926,5262,-89.98541259765625
1715427627.1436381,5265,-109.49628448486328
1715427627.2521503,5277,-115.63421630859375
1715427650.931585,5286,-526.2626953125
1715427650.9601145,5291,-582.146728515625
1715427650.9705687,5293,-561.0214233398438
1715427650.9831228,5295,-576.7216186523438
1715427650.9954295,5297,-567.6551513671875
1715427651.0381916,5304,-575.535888671875
1715427651.1213026,5318,-585.8106689453125
1715427651.129164,5319,-590.0736083984375
1715427675.5066373,5322,-88.67021942138672
1715427675.5214903,5324,-95.28660583496094
1715427675.5557084,5328,-114.98377227783203
1715427675.5637178,5329,-121.74522399902344
1715427675.5982795,5334,-104.0887680053711
1715427675.6130168,5336,-109.49776458740234
1715427675.6272714,5338,-111.39742279052734
1715427675.667579,5343,-116.94965362548828
1715427699.5142703,5362,-169.7096405029297
1715427699.5572865,5368,-170.8667755126953
1715427699.5701056,5370,-170.97166442871094
1715427699.5928082,5373,-175.6399688720703
1715427699.6582377,5382,-163.40048217773438
1715427723.706871,5393,-130.67266845703125
1715427723.7165778,5395,-127.996337890625
1715427723.757429,5402,-128.96461486816406
1715427723.764683,5403,-125.18448638916016
1715427723.786911,5407,-121.17644500732422
1715427723.8421814,5417,-128.19949340820312
1715427723.8533664,5419,-128.76609802246094
1715427723.8840728,5424,-131.22352600097656
1715427745.8748052,5428,-103.79484558105469
1715427745.9160895,5435,-107.95680236816406
1715427745.977529,5445,-99.46723175048828
1715427745.9923358,5447,-104.3149185180664
1715427745.9971883,5448,-103.53385162353516
1715427746.019162,5452,-104.32176971435547
1715427746.0307975,5454,-106.5471420288086
1715427746.0426948,5456,-104.69170379638672
1715427746.049925,5457,-104.2391128540039
1715427746.060362,5459,-105.68912506103516
1715427767.2008095,5470,-123.21719360351562
1715427791.2814786,5496,-106.9522705078125
1715427791.293704,5498,-139.1092529296875
1715427791.3319583,5504,-108.07582092285156
1715427791.352414,5507,-116.6230697631836
1715427791.3576345,5508,-110.64460754394531
1715427791.3651493,5509,-109.23526763916016
1715427791.3726425,5510,-118.16487884521484
1715427791.4154985,5517,-114.2386703491211
1715427791.4371963,5521,-108.47241973876953
1715427791.4503899,5523,-107.99163818359375
1715427791.4672918,5526,-106.74112701416016
1715427814.0397267,5545,-104.9910888671875
1715427814.0810306,5552,-113.87181091308594
1715427814.0943334,5554,-115.06007385253906
1715427814.1089454,5557,-112.27167510986328
1715427835.549751,5567,-113.353759765625
1715427835.6242568,5579,-91.14154815673828
1715427859.5244236,5604,-319.6207580566406
1715427859.5521219,5608,-324.766845703125
1715427881.806386,5640,-133.92218017578125
1715427881.8253841,5643,-125.65585327148438
1715427881.8909218,5653,-119.20230865478516
1715427881.978868,5667,-123.03955841064453
1715427905.0592098,5672,-153.13636779785156
1715427905.0653377,5673,-147.6122589111328
1715427905.0702047,5674,-134.36643981933594
1715427905.153764,5687,-126.89787292480469
1715427905.2561178,5703,-134.1232452392578
1715427927.9597292,5706,-135.7457733154297
1715427927.9758983,5709,-139.90440368652344
1715427927.9990015,5713,-147.86004638671875
1715427928.0186958,5716,-143.01528930664062
1715427928.062847,5723,-143.50137329101562
1715427928.105766,5730,-136.59576416015625
1715427928.1224186,5733,-135.4066162109375
1715427951.1677887,5740,-101.57965087890625
1715427951.1870542,5743,-130.38258361816406
1715427951.231766,5750,-130.53564453125
1715427951.2458842,5752,-133.09934997558594
1715427951.26536,5755,-142.4237823486328
1715427951.2716744,5756,-136.3699188232422
1715427951.2768514,5757,-135.85885620117188
1715427951.2820096,5758,-135.73794555664062
1715427951.326488,5765,-134.0171661376953
1715427951.3770115,5772,-136.77601623535156
1715427974.2184515,5781,-127.22296905517578
1715427974.2352364,5784,-121.27656555175781
1715427974.239954,5785,-120.63117218017578
1715427974.2701437,5789,-128.26559448242188
1715427974.327169,5798,-123.39566802978516
1715427974.3957531,5809,-125.17096710205078
1715427998.136468,5821,-124.5951919555664
1715427998.2147422,5832,-125.87680053710938
1715428020.3130717,5849,-106.8363265991211
1715428020.3710554,5859,-120.7353744506836
1715428020.4179256,5866,-125.25993347167969
1715428020.4352093,5869,-124.46111297607422
1715428020.4946194,5879,-131.4536895751953
1715428044.4828584,5880,-113.221923828125
1715428044.4941669,5882,-130.3185577392578
1715428044.5252976,5888,-127.19149780273438
1715428044.5672038,5895,-137.6453857421875
1715428068.589918,5915,-41.28654479980469
1715428068.6429517,5921,-52.44776916503906
1715428068.7554717,5934,-51.444122314453125
1715428068.76162,5935,-51.11920166015625
1715428068.8648136,5948,-50.344520568847656
1715428068.8737469,5949,-50.05886459350586
